Altium Designer Pick and Place Locations
C:\Users\Victor Holanda\Documents\28Pins_Project_V1]1\BOM\Pick Place\Pick Place for 28Pins_Project_V1[1_PCB.(5V_3V3).txt

========================================================================================================================
File Design Information:

Date:       21/05/21
Time:       14:47
Revision:   5e75555ec9e27382c7edb27a4149d9886631ded5
Variant:    5V/3V3
Units used: mm

Designator    Comment                 Layer    Footprint                        Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                                                                                                               
FID3          FID_1MMC                TopLayer FID_40X120D                      67.3354      50.8000      90       "Fiducal 40mil Diameter, 120mil Mask"                                                                                                                                                                                                                     
FID4          FID_1MMC                TopLayer FID_40X120D                      10.6172      51.4858      90       "Fiducal 40mil Diameter, 120mil Mask"                                                                                                                                                                                                                     
JP1           "HDR 1x3"               TopLayer HDR_1X3_2.54MM                   67.0306      44.1960      0        "AMPHENOL ICC - 68000-103HLF - Pin Header, Board-to-Board, 2.54 mm, 1 Rows, 3 Contacts, Through Hole, FCI BergStik II 68000 Series"                                                                                                                       
R4            10k                     TopLayer R0805                            10.3378      26.5684      270      "RES SMD 10K OHM 1% 1/8W 0805"                                                                                                                                                                                                                            
R18           10k                     TopLayer R0805                            67.8434      19.6342      90       "RES SMD 10K OHM 1% 1/8W 0805"                                                                                                                                                                                                                            
R20           10k                     TopLayer R0805                            67.8434      23.1648      270      "RES SMD 10K OHM 1% 1/8W 0805"                                                                                                                                                                                                                            
R21           10k                     TopLayer R0805                            27.0764      5.4864       270      "RES SMD 10K OHM 1% 1/8W 0805"                                                                                                                                                                                                                            
R25           22R                     TopLayer R0805                            27.8384      8.3312       180      "RES SMD 22 OHM 1% 1/8W 0805"                                                                                                                                                                                                                             
C33           100n                    TopLayer C0805                            23.3680      11.3030      90       "TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series"                                                                                                                                    
U7            SN74AHC1G09DBVR         TopLayer DBV_SDT_23_5                     21.9456      14.8336      0        "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                              
C29           100n                    TopLayer C0805                            23.2410      18.4912      90       "TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series"                                                                                                                                    
R19           10k                     TopLayer R0805                            3.6830       28.1940      90       "RES SMD 10K OHM 1% 1/8W 0805"                                                                                                                                                                                                                            
R22           560R                    TopLayer R0805                            25.6032      14.9098      90       "Surface Mount Thick Film Resistor, RC Series, 560 ohm, 125 mW, - 1%, 150 V, 0805 [2012 Metric]"                                                                                                                                                          
C10           18p                     TopLayer C0805                            26.2128      23.9522      180      "CAP CER 18PF 50V C0G/NP0 0805"                                                                                                                                                                                                                           
J6            "HDR 2x3"               TopLayer HDR_2X3_2.54MM                   5.4610       39.8272      90       "Conn Unshrouded Header HDR 6 POS 2.54mm Solder ST Top Entry Thru-Hole BergStik® Bulk"                                                                                                                                                                    
J5            "HDR 2x3"               TopLayer HDR_2X3_2.54MM                   5.4610       48.2600      90       "Conn Unshrouded Header HDR 6 POS 2.54mm Solder ST Top Entry Thru-Hole BergStik® Bulk"                                                                                                                                                                    
J1            "HDR FMALE 1x8 2.54mm"  TopLayer HDR_FMALE_1X8_2.54MM             37.4396      2.2352       90       "2.54mm (0.1") Pitch SIL Vertical PC Tail Socket Assembly, selective gold + tin, 8 contacts"                                                                                                                                                              
J2            "HDR FMALE 1x6 2.54 mm" TopLayer HDR_FMALE_1X6_2.54MM             57.7088      2.2606       90       "06-WAY SIL VERT SOCKET L/FREE"                                                                                                                                                                                                                           
J3            "HDR FMALE 1x8 2.54mm"  TopLayer HDR_FMALE_1X8_2.54MM             54.8640      50.6476      270      "2.54mm (0.1") Pitch SIL Vertical PC Tail Socket Assembly, selective gold + tin, 8 contacts"                                                                                                                                                              
JP3           "HDR 1x4"               TopLayer HDR_1X4_2.54MM                   15.4432      40.0812      0        "Conn Unshrouded Header HDR 4 POS 2.54mm Solder ST Thru-Hole Bag"                                                                                                                                                                                         
U2            ATMEGA16U2-AU           TopLayer TQFP32                           16.9164      29.2862      180      "ATmega Series 16 KB Flash 512 B RAM 16 MHz 8-Bit Microcontroller - TQFP-32"                                                                                                                                                                              
J4            "HDR FMALE 1x10 2.54mm" TopLayer HDR_FMALE_1X10_2.54_MM           30.7848      50.6476      270      "HARWIN - M20-7821046 - Board-To-Board Connector, M20 Series, Through Hole, Receptacle, 10, 2.54 mm, Tin Plated Contacts"                                                                                                                                 
JP4           "HDR 1x3"               TopLayer HDR_1X3_2.54MM                   15.1638      8.1788       90       "AMPHENOL ICC - 68000-103HLF - Pin Header, Board-to-Board, 2.54 mm, 1 Rows, 3 Contacts, Through Hole, FCI BergStik II 68000 Series"                                                                                                                       
